Verse,Verse_sans,Translation,Link
1/1,dhṛtarāṣṭra uvācadharma-kṣetre kuru-kṣetresamavetā yuyutsavaḥmāmakāḥ pāṇḍavāś caivakim akurvata sañjaya,"Dhṛtarāṣṭra said: O Sañjaya, after my sons and the sons of Pāṇḍu assembled in the place of pilgrimage at Kurukṣetra, desiring to fight, what did they do?",https://vedabase.io/en/library/bg/1/1/
1/2,sañjaya uvācadṛṣṭvā tu pāṇḍavānīkaṁvyūḍhaṁ duryodhanas tadāācāryam upasaṅgamyarājā vacanam abravīt,"Sañjaya said: O King, after looking over the army arranged in military formation by the sons of Pāṇḍu, King Duryodhana went to his teacher and spoke the following words.",https://vedabase.io/en/library/bg/1/2/
1/3,paśyaitāṁ pāṇḍu-putrāṇāmācārya mahatīṁ camūmvyūḍhāṁ drupada-putreṇatava śiṣyeṇa dhīmatā,"O my teacher, behold the great army of the sons of Pāṇḍu, so expertly arranged by your intelligent disciple the son of Drupada.",https://vedabase.io/en/library/bg/1/3/
1/4,atra śūrā maheṣv-āsābhīmārjuna-samā yudhiyuyudhāno virāṭaś cadrupadaś ca mahā-rathaḥ,"Here in this army are many heroic bowmen equal in fighting to Bhīma and Arjuna: great fighters like Yuyudhāna, Virāṭa and Drupada.",https://vedabase.io/en/library/bg/1/4/
1/5,dhṛṣṭaketuś cekitānaḥkāśirājaś ca vīryavānpurujit kuntibhojaś caśaibyaś ca nara-puṅgavaḥ,"There are also great heroic, powerful fighters like Dhṛṣṭaketu, Cekitāna, Kāśirāja, Purujit, Kuntibhoja and Śaibya.",https://vedabase.io/en/library/bg/1/5/
1/6,yudhāmanyuś ca vikrāntauttamaujāś ca vīryavānsaubhadro draupadeyāś casarva eva mahā-rathāḥ,"There are the mighty Yudhāmanyu, the very powerful Uttamaujā, the son of Subhadrā and the sons of Draupadī. All these warriors are great chariot fighters.",https://vedabase.io/en/library/bg/1/6/
1/7,asmākaṁ tu viśiṣṭā yetān nibodha dvijottamanāyakā mama sainyasyasaṁjñārthaṁ tān bravīmi te,"But for your information, O best of the brāhmaṇas, let me tell you about the captains who are especially qualified to lead my military force.",https://vedabase.io/en/library/bg/1/7/
1/8,bhavān bhīṣmaś ca karṇaś cakṛpaś ca samitiṁ-jayaḥaśvatthāmā vikarṇaś casaumadattis tathaiva ca,"There are personalities like you, Bhīṣma, Karṇa, Kṛpa, Aśvatthāmā, Vikarṇa and the son of Somadatta called Bhūriśravā, who are always victorious in battle.",https://vedabase.io/en/library/bg/1/8/
1/9,anye ca bahavaḥ śūrāmad-arthe tyakta-jīvitāḥnānā-śastra-praharaṇāḥsarve yuddha-viśāradāḥ,"There are many other heroes who are prepared to lay down their lives for my sake. All of them are well equipped with different kinds of weapons, and all are experienced in military science.",https://vedabase.io/en/library/bg/1/9/
1/10,aparyāptaṁ tad asmākaṁbalaṁ bhīṣmābhirakṣitamparyāptaṁ tv idam eteṣāṁbalaṁ bhīmābhirakṣitam,"Our strength is immeasurable, and we are perfectly protected by Grandfather Bhīṣma, whereas the strength of the Pāṇḍavas, carefully protected by Bhīma, is limited.",https://vedabase.io/en/library/bg/1/10/
1/11,ayaneṣu ca sarveṣuyathā-bhāgam avasthitāḥbhīṣmam evābhirakṣantubhavantaḥ sarva eva hi,"All of you must now give full support to Grandfather Bhīṣma, as you stand at your respective strategic points of entrance into the phalanx of the army.",https://vedabase.io/en/library/bg/1/11/
1/12,tasya sañjanayan harṣaṁkuru-vṛddhaḥ pitāmahaḥsiṁha-nādaṁ vinadyoccaiḥśaṅkhaṁ dadhmau pratāpavān,"Then Bhīṣma, the great valiant grandsire of the Kuru dynasty, the grandfather of the fighters, blew his conchshell very loudly, making a sound like the roar of a lion, giving Duryodhana joy.",https://vedabase.io/en/library/bg/1/12/
1/13,tataḥ śaṅkhāś ca bheryaś capaṇavānaka-gomukhāḥsahasaivābhyahanyantasa śabdas tumulo ’bhavat,"After that, the conchshells, drums, bugles, trumpets and horns were all suddenly sounded, and the combined sound was tumultuous.",https://vedabase.io/en/library/bg/1/13/
